data,fascia_eta,dosi_somministrate,popolazione,dosi_somministrate_per_1k_abitanti,data_ultimo_check
2021-01-13T15:32:37,16-19,1692,2322160,0.73,2021-01-13T16:14:02
2021-01-13T15:32:37,20-29,86696,6157183,14.08,2021-01-13T16:14:02
2021-01-13T15:32:37,30-39,130947,6952720,18.83,2021-01-13T16:14:02
2021-01-13T15:32:37,40-49,168823,9039799,18.68,2021-01-13T16:14:02
2021-01-13T15:32:37,50-59,221817,9501180,23.35,2021-01-13T16:14:02
2021-01-13T15:32:37,60-69,126232,7425175,17.0,2021-01-13T16:14:02
2021-01-13T15:32:37,70-79,20585,6006830,3.43,2021-01-13T16:14:02
2021-01-13T15:32:37,80-89,25052,3647476,6.87,2021-01-13T16:14:02
2021-01-13T15:32:37,90+,18886,794572,23.77,2021-01-13T16:14:02
2021-01-13T15:32:37,16+,800730,51847095,15.44,2021-01-13T16:14:02
