data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-05-05T15:12:12,16-19,33666,11386,45052,14.5,4.9,2021-05-05T18:54:02
2021-05-05T15:12:12,20-29,599480,301603,901083,97.36,48.98,2021-05-05T18:54:02
2021-05-05T15:12:12,30-39,856163,403893,1260056,123.14,58.09,2021-05-05T18:54:02
2021-05-05T15:12:12,40-49,1264379,529842,1794221,139.87,58.61,2021-05-05T18:54:02
2021-05-05T15:12:12,50-59,1846058,733204,2579262,194.3,77.17,2021-05-05T18:54:02
2021-05-05T15:12:12,60-69,2806595,644069,3450664,377.98,86.74,2021-05-05T18:54:02
2021-05-05T15:12:12,70-79,3985212,695453,4680665,663.45,115.78,2021-05-05T18:54:02
2021-05-05T15:12:12,80-89,3194061,2599309,5793370,875.69,712.63,2021-05-05T18:54:02
2021-05-05T15:12:12,90+,718061,549388,1267449,903.71,691.43,2021-05-05T18:54:02
2021-05-05T15:12:12,16+,15303675,6468147,21771822,295.17,124.75,2021-05-05T18:54:02
