data,denominazione_regione,dosi_somministrate,dosi_consegnate,percentuale_dosi_somministrate_su_consegnate,data_ultimo_check
2021-01-03T09:28:19,Abruzzo,685,7935,8.63,2021-01-03T10:26:01
2021-01-03T09:28:19,Basilicata,1153,4980,23.15,2021-01-03T10:26:01
2021-01-03T09:28:19,Calabria,448,12955,3.46,2021-01-03T10:26:01
2021-01-03T09:28:19,Campania,6671,33870,19.7,2021-01-03T10:26:01
2021-01-03T09:28:19,Emilia-Romagna,5504,43875,12.54,2021-01-03T10:26:01
2021-01-03T09:28:19,Friuli-Venezia Giulia,3160,11965,26.41,2021-01-03T10:26:01
2021-01-03T09:28:19,Lazio,16752,45805,36.57,2021-01-03T10:26:01
2021-01-03T09:28:19,Liguria,1889,15920,11.87,2021-01-03T10:26:01
2021-01-03T09:28:19,Lombardia,2416,80595,3.0,2021-01-03T10:26:01
2021-01-03T09:28:19,Marche,953,8975,10.62,2021-01-03T10:26:01
2021-01-03T09:28:19,Molise,50,2975,1.68,2021-01-03T10:26:01
2021-01-03T09:28:19,P.A. Bolzano,1037,5995,17.3,2021-01-03T10:26:01
2021-01-03T09:28:19,P.A. Trento,2242,4975,45.07,2021-01-03T10:26:01
2021-01-03T09:28:19,Piemonte,9719,40885,23.77,2021-01-03T10:26:01
2021-01-03T09:28:19,Puglia,4727,25855,18.28,2021-01-03T10:26:01
2021-01-03T09:28:19,Sardegna,302,12855,2.35,2021-01-03T10:26:01
2021-01-03T09:28:19,Sicilia,2471,46510,5.31,2021-01-03T10:26:01
2021-01-03T09:28:19,Toscana,6824,27920,24.44,2021-01-03T10:26:01
2021-01-03T09:28:19,Umbria,980,4960,19.76,2021-01-03T10:26:01
2021-01-03T09:28:19,Valle d'Aosta,44,995,4.42,2021-01-03T10:26:01
2021-01-03T09:28:19,Veneto,11119,38900,28.58,2021-01-03T10:26:01
2021-01-03T09:28:19,Italia,79146,479700,16.5,2021-01-03T10:26:01
