data,denominazione_regione,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_consegnate,percentuale_dosi_somministrate_tot_su_consegnate,dosi_somministrate_prima_per_10k_abitanti,dosi_somministrate_seconda_per_10k_abitanti,dosi_consegnate_per_10k_abitanti,data_ultimo_check
2021-02-19T14:00:28,Abruzzo,34650,20199,54849,86670,63.28,265.36,154.69,663.75,2021-02-19T17:02:01
2021-02-19T14:00:28,Basilicata,17456,10715,28171,45225,62.29,313.43,192.39,812.04,2021-02-19T17:02:01
2021-02-19T14:00:28,Calabria,46384,32469,78853,136290,57.86,240.99,168.7,708.11,2021-02-19T17:02:01
2021-02-19T14:00:28,Campania,183136,105541,288677,379755,76.02,316.52,182.41,656.35,2021-02-19T17:02:01
2021-02-19T14:00:28,Emilia-Romagna,181959,129468,311427,417900,74.52,407.33,289.82,935.5,2021-02-19T17:02:01
2021-02-19T14:00:28,Friuli-Venezia Giulia,51478,33735,85213,116965,72.85,424.96,278.49,965.57,2021-02-19T17:02:01
2021-02-19T14:00:28,Lazio,202713,116709,319422,444780,71.82,345.6,198.97,758.29,2021-02-19T17:02:01
2021-02-19T14:00:28,Liguria,51837,34692,86529,147950,58.49,335.92,224.82,958.77,2021-02-19T17:02:01
2021-02-19T14:00:28,Lombardia,324970,233438,558408,773800,72.16,321.63,231.04,765.84,2021-02-19T17:02:01
2021-02-19T14:00:28,Marche,42806,28706,71512,107000,66.83,281.92,189.05,704.69,2021-02-19T17:02:01
2021-02-19T14:00:28,Molise,9320,6611,15931,25595,62.24,308.34,218.72,846.77,2021-02-19T17:02:01
2021-02-19T14:00:28,P.A. Bolzano,26274,22095,48369,56165,86.12,504.4,424.18,1078.25,2021-02-19T17:02:01
2021-02-19T14:00:28,P.A. Trento,21683,12688,34371,46770,73.49,399.9,234.0,862.57,2021-02-19T17:02:01
2021-02-19T14:00:28,Piemonte,165796,132857,298653,392470,76.1,381.9,306.03,904.02,2021-02-19T17:02:01
2021-02-19T14:00:28,Puglia,107948,70589,178537,267415,66.76,269.31,176.11,667.15,2021-02-19T17:02:01
2021-02-19T14:00:28,Sardegna,43835,25854,69689,113700,61.29,268.85,158.57,697.34,2021-02-19T17:02:01
2021-02-19T14:00:28,Sicilia,150886,102283,253169,380925,66.46,303.69,205.87,766.69,2021-02-19T17:02:01
2021-02-19T14:00:28,Toscana,156825,74366,231191,288680,80.09,421.26,199.76,775.45,2021-02-19T17:02:01
2021-02-19T14:00:28,Umbria,23052,14507,37559,58405,64.31,261.87,164.8,663.48,2021-02-19T17:02:01
2021-02-19T14:00:28,Valle d'Aosta,6597,4085,10682,11470,93.13,525.65,325.5,913.94,2021-02-19T17:02:01
2021-02-19T14:00:28,Veneto,161924,108394,270318,394530,68.52,329.94,220.86,803.9,2021-02-19T17:02:01
2021-02-19T14:00:28,Italia,2011529,1320001,3331530,4692460,71.0,333.96,219.15,779.05,2021-02-19T17:02:01
